epoch,min_v_loss,t_l1,v_l1
5,0.06435633730143309,0.05283332907635234,0.06435633730143309
10,0.06435633730143309,0.04942258925217649,0.0823538787662983
15,0.053783617448061705,0.03841591383452001,0.053783617448061705
20,0.051953827030956745,0.03909639997974687,0.051953827030956745
25,0.03445880301296711,0.03700326269735461,0.03445880301296711
30,0.03445880301296711,0.03329655825686844,0.0807404424995184
35,0.03445880301296711,0.03200291858419128,0.06362620368599892
40,0.03445880301296711,0.033126521126731576,0.0508138220757246
45,0.03445880301296711,0.031636139175490186,0.040318386163562536
50,0.03445880301296711,0.030549288281927933,0.054799523670226336
55,0.03445880301296711,0.02998895396518966,0.05559508688747883
60,0.03445880301296711,0.03058056719601154,0.043540265411138535
65,0.03445880301296711,0.03171276592690012,0.05984095158055425
70,0.03445880301296711,0.03274583269882462,0.052709104493260384
epoch,min_v_loss,t_l1,v_l1
5,0.07141067809425294,0.047282742596762156,0.07141067809425294
10,0.07101885136216879,0.04659302676877667,0.07101885136216879
15,0.03271860629320145,0.03346551930712115,0.03271860629320145
20,0.03271860629320145,0.03554672936117778,0.062059922609478235
25,0.03271860629320145,0.033718421294163636,0.04873209330253303
